seqNum,consumption price,prosumer price,battery station price,power station price
28,900,800,900,1000
29,984,800,900,1000
30,964,800,984,1000
31,955,800,964,1000
32,941,800,955,1000
33,925,800,941,1000
34,938,800,925,1000
35,954,800,938,1000
36,962,800,954,1000
37,959,800,962,1000
38,1000,800,959,1000
39,1000,800,1000,1000
40,1000,800,1000,1000
41,1000,800,1000,1000
42,883,800,1000,1000
43,919,800,883,1000
44,973,800,919,1000
45,951,800,973,1000
46,923,800,951,1000
47,874,800,923,1000
48,850,800,874,1000
49,855,800,850,1000
50,1000,800,855,1000
51,1000,800,1000,1000
52,859,800,1000,1000
53,859,800,859,1000
54,859,800,859,1000
55,864,800,859,1000
56,871,800,864,1000
57,872,800,871,1000
58,884,800,872,1000
59,891,800,884,1000
60,896,800,891,1000
61,903,800,896,1000
62,1000,800,903,1000
63,911,800,1000,1000
64,924,800,911,1000
65,924,800,924,1000
66,924,800,924,1000
67,966,800,924,1000
68,980,800,966,1000
69,999,800,980,1000
70,1000,800,999,1000
71,1000,800,1000,1000
72,1000,800,1000,1000
73,1000,800,1000,1000
74,1000,800,1000,1000
75,1000,800,1000,1000
76,1000,800,1000,1000
77,1000,800,1000,1000
78,1000,800,1000,1000
79,1000,800,1000,1000
80,1000,800,1000,1000
81,1000,800,1000,1000
82,1000,800,1000,1000
83,1000,800,1000,1000
84,1000,800,1000,1000
85,1000,800,1000,1000
86,1000,800,1000,1000
